,ele,wat,gas,weather0,weather1,weather2,weather3,weather4,weather5,weather6,weather7
max,100.0,3.0,2.0,30.3,39.6,100.0,180.0,21.1,99.8,10.0,10.0
min,0.09999999999999988,-1.1102230246251563e-16,-1.1102230246251563e-16,-18.9,-10.7,0.0,0.0,0.3,21.8,0.0,0.0
